"Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","sig"
"TotalDensity2","EdChl2",-0.0182790962151622,0.0058886518510373,88,-3.10412241673658,0.001908443495935,-0.364828028912249,"**"
"TotalDensity2","MixingTrt",0.311567020792761,0.24107189201263,88,1.29242367574083,0.196210461952006,0.244119042921963,""
"EdChl2","TN2",0.120657337816279,0.0215442880217788,88,5.60043282443624,2.13817255423457e-08,0.495654328041789,"***"
"EdChl2","MixingTrt",0.80169360928501,0.393342152293895,88,2.03815839367759,0.0415340949241922,0.426789090918347,"*"
"~~TotalDensity2","~~TN2",0.179226408556865,NA,88,1.67958187580864,0.0483554815164251,0.179226408556865,"*"
