"Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","sig"
"TotalDensity2","EdChl2",-0.0182790962151622,0.0058886518510373,88,-3.10412241673658,0.001908443495935,-0.364828028912249,"**"
"TotalDensity2","MixingTrt",0.311567020792761,0.24107189201263,88,1.29242367574083,0.196210461952006,0.244119042921963,""
"EdChl2","TP2",0.148899515846441,0.0209739752617727,88,7.09925104745526,1.25434775963184e-12,0.559914834634948,"***"
"EdChl2","MixingTrt",0.614298600074112,0.30507763045645,88,2.01358126177594,0.0440535153938087,0.331828777306357,"*"
