"Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","sig"
"InfDensity2","TotalDensity2",0.0789823507539627,0.00991403655327472,79,7.96671974422709,1.62941619660185e-15,0.457455105384703,"***"
"InfDensity2","MixingTrt",0.049578028620363,0.131706837922107,79,0.37642714229981,0.706599370710194,0.0190682266336875,""
"InfDensity2","EdChl2",-0.0101927595031564,0.00628422436234363,79,-1.62195983393488,0.104811948645847,-0.106974872050989,""
"TotalDensity2","EdChl2",-0.0127491670389777,0.0086461318366877,79,-1.47455154279279,0.140333150761032,-0.232070005783066,""
"TotalDensity2","MixingTrt",0.331837421777398,0.228449360502055,79,1.45256445913497,0.146344719964285,0.221357180783675,""
"EdChl2","TP2",0.0529556367328777,0.0140734800173226,79,3.76279617178526,0.000168024141443163,0.258382995098665,"***"
"EdChl2","MixingTrt",0.0807926302489272,0.419390931465967,79,0.192642768804083,0.847238747585058,0.043394396107673,""
"~~TotalDensity2","~~TP2",0.150465466462773,NA,79,1.32683316881127,0.0942683519725809,0.150465466462773,""
