"Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","sig"
"PrevTotal","TotalDensity2",-0.00810411525448906,0.011580455709479,79,-0.699809701604018,0.484046155206559,-0.0273401220277257,""
"PrevTotal","MixingTrt",-0.0481994146422913,0.158364033205443,79,-0.304358342400658,0.760854901170556,-0.0107978982727753,""
"PrevTotal","EdChl2",-0.0110588905487577,0.00669488649914581,79,-1.65184137926291,0.0985668908110098,-0.0676048688761351,""
"TotalDensity2","EdChl2",-0.0127491670389777,0.0086461318366877,79,-1.47455154279279,0.140333150761032,-0.232070005783066,""
"TotalDensity2","MixingTrt",0.331837421777398,0.228449360502055,79,1.45256445913497,0.146344719964285,0.221357180783675,""
"EdChl2","TN2",0.0576093865689182,0.0119109356566689,79,4.83668019284975,1.32025588255362e-06,0.286845642208755,"***"
"EdChl2","MixingTrt",0.0963000527167364,0.447143079827268,79,0.215367422780952,0.829480866897326,0.0514836852784355,""
