"Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","sig"
"InfDensity2","TotalDensity2",0.0834979606564718,0.00987279511429129,79,8.45737804642628,2.73456279954076e-17,0.48507912294713,"***"
"InfDensity2","MixingTrt",0.058076766088418,0.141947332411082,79,0.409143061034965,0.682434676908091,0.0224048359559212,""
"TotalDensity2","EdChl2",-0.0127491696098431,0.00864613547769766,79,-1.47455121918099,0.140333237821456,-0.232070017142135,""
"TotalDensity2","MixingTrt",0.331836524707453,0.228449716607441,79,1.45255826811844,0.146346439992482,0.221356548577779,""
"EdChl2","TN2",0.0576093866343866,0.0119109347922237,79,4.83668054937202,1.32025351555648e-06,0.286845641906922,"***"
"EdChl2","MixingTrt",0.0963000543733547,0.447142949950332,79,0.215367489041372,0.829480815241148,0.051483686051412,""
