,Raft,Nutrients,Mixing,Spores,Trt,Bag,Day,NDay,UA,UJ,UM,MA,MJ,MM,Chaob,EdChl,TP,TN,InfDensity,UninfDensity,TotalDensity,PrevTotal,InfCount,UninfCount,TotalCount,LogTotDens,LogUninfDens,LogInfDens,LogEdChl,LogTP,LogTN
192,4,High,Mix,No,High Mix No,32,15,6,NA,NA,NA,NA,NA,NA,NA,7.69,64.5388934,1267.7766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.039920784,4.167268041,7.145019937
193,1,Low,Mix,Spores,Low Mix Spores,1,19,7,179,603,0,25,16,0,0,1.33,7.81199553,694.6391,3088.924339,58915.5813,62004.50564,0.04981774,41,782,823,11.03496233,10.98386087,8.035578199,0.285178942,2.055660441,6.54339243
194,1,High,Mix,No,High Mix No,2,19,7,232,995,0,0,0,0,0,6.78,43.46253969,974.463,75.33961803,92441.71132,92441.71132,0,0,1227,1227,11.43433358,11.43433358,4.322006132,1.913977102,3.771899411,6.88188655
196,1,High,No,No,High No No,4,19,7,772,964,1,0,0,0,0,4.04,25.48194745,938.7408,75.33961803,130864.9165,130864.9165,0,0,1737,1737,11.7819209,11.7819209,4.322006132,1.396244692,3.237970258,6.844539403
197,1,Low,Mix,No,Low Mix No,5,19,7,523,1476,0,0,0,0,0,2.27,25.29921786,694.6391,75.33961803,150603.8964,150603.8964,0,0,1999,1999,11.92240847,11.92240847,4.322006132,0.819779831,3.230773481,6.54339243
198,1,High,Mix,Spores,High Mix Spores,6,19,7,478,1739,0,77,1,0,0,2.56,17.47839115,891.1112,5876.490206,167027.9332,172904.4234,0.033986928,78,2217,2295,12.06049425,12.02591634,8.678714959,0.940007258,2.860965327,6.792469223
199,1,Low,No,No,Low No No,7,19,7,548,565,1,0,0,0,0,1.99,6.770436833,623.1947,75.33961803,83928.33449,83928.33449,0,0,1114,1114,11.33771855,11.33771855,4.322006132,0.688134639,1.91256561,6.43485899
200,1,High,No,Spores,High No Spores,8,19,7,329,649,0,63,24,0,1,1.87,22.32072544,1080.7415,6554.546769,73682.14643,80236.6932,0.081690141,87,978,1065,11.29273621,11.2075158,8.787914251,0.625938431,3.105515639,6.985402659
202,2,Low,No,Spores,Low No Spores,10,19,7,1040,683,0,112,41,0,2,5.31,10.7173961,676.778,11526.96156,129810.1619,141337.1234,0.081556503,153,1723,1876,11.85890326,11.77382837,9.352444054,1.669591835,2.371868225,6.517343302
203,2,High,Mix,Spores,High Mix Spores,11,19,7,1156,1924,1,91,14,0,0,28.84,105.6636941,1232.2632,7910.659893,232121.3632,240032.023,0.032956685,105,3081,3186,12.38852762,12.35501563,8.975966482,3.361763312,4.660261353,7.116607758
204,2,Low,Mix,No,Low Mix No,12,19,7,1051,1568,0,0,0,0,1,10.79,22.99682495,795.852,75.33961803,197314.4596,197314.4596,0,0,2619,2619,12.19255398,12.19255398,4.322006132,2.378619779,3.135356161,6.679413239
205,2,High,No,Spores,High No Spores,13,19,7,820,1099,1,107,17,0,1,2.69,22.39381728,885.1575,9342.112636,144652.0666,153994.1793,0.060665362,124,1920,2044,11.94467008,11.8820866,9.142287698,0.989541194,3.108784906,6.785765595
